id_canal,st_titulo,dh_inicio,dh_fim,id_programa,titulo
483,elementary,2018-08-09T23:00Z,2018-08-09T23:55Z,663454,Elementary
483,chicago_pd,2018-08-09T23:55Z,2018-08-10T00:50Z,543116,Chicago P.D.
483,law_order_svu,2018-08-10T00:50Z,2018-08-10T01:45Z,408713,Law & Order SVU
483,house,2018-08-10T01:45Z,2018-08-10T02:40Z,265259,House
483,minority_report_a_nova_lei,2018-08-10T02:40Z,2018-08-10T05:15Z,66363,Minority Report - A Nova Lei
483,law_order_svu,2018-08-10T05:15Z,2018-08-10T06:05Z,408713,Law & Order SVU
483,house,2018-08-10T06:05Z,2018-08-10T07:00Z,265259,House
483,infomercial,2018-08-10T07:00Z,2018-08-10T08:00Z,373082,Infomercial
483,cinelab,2018-08-10T08:00Z,2018-08-10T08:25Z,446071,Cinelab
483,it_takes_a_killer,2018-08-10T08:25Z,2018-08-10T08:55Z,626790,It Takes A Killer
483,macgyver,2018-08-10T08:55Z,2018-08-10T09:50Z,617761,Macgyver
483,macgyver,2018-08-10T09:50Z,2018-08-10T10:45Z,617762,Macgyver
483,macgyver,2018-08-10T10:45Z,2018-08-10T11:35Z,617763,Macgyver
483,house,2018-08-10T11:35Z,2018-08-10T12:30Z,274884,House
483,chicago_pd,2018-08-10T12:30Z,2018-08-10T13:25Z,550022,Chicago P.D.
483,it_takes_a_killer,2018-08-10T13:25Z,2018-08-10T13:55Z,626790,It Takes A Killer
483,kung_fu_panda_2,2018-08-10T13:55Z,2018-08-10T15:30Z,255714,Kung Fu Panda 2
483,law_order_svu,2018-08-10T15:30Z,2018-08-10T16:25Z,408708,Law & Order SVU
483,law_order_svu,2018-08-10T16:25Z,2018-08-10T17:20Z,408709,Law & Order SVU
483,law_order_svu,2018-08-10T17:20Z,2018-08-10T18:15Z,408712,Law & Order SVU
483,cinelab,2018-08-10T18:15Z,2018-08-10T18:45Z,588483,Cinelab
483,cinelab,2018-08-10T18:45Z,2018-08-10T19:15Z,588484,Cinelab
483,lucifer,2018-08-10T19:15Z,2018-08-10T20:10Z,606581,Lucifer
483,lucifer,2018-08-10T20:10Z,2018-08-10T21:05Z,606582,Lucifer
483,lucifer,2018-08-10T21:05Z,2018-08-10T22:00Z,612785,Lucifer
483,timeless,2018-08-10T22:00Z,2018-08-10T22:55Z,663479,Timeless
483,branca_de_neve_e_o_cacador,2018-08-10T22:55Z,2018-08-11T01:10Z,300105,Branca de Neve e o Caçador
483,law_order_svu,2018-08-11T01:10Z,2018-08-11T02:05Z,418146,Law & Order SVU
483,house,2018-08-11T02:05Z,2018-08-11T03:00Z,274884,House
483,motoqueiro_fantasma,2018-08-11T03:00Z,2018-08-11T05:10Z,148392,Motoqueiro Fantasma
